Abkhazia	Abkhaz, Abkhazian	Abkhazians
Mexico	Mexican	Mexicans
Micronesia, Federated States of	Micronesian	Micronesians
Moldova	Moldovan	Moldovans
Monaco	Monégasque, Monacan	Monégasques, Monacans
Mongolia	Mongolian	Mongolians, Mongols
Montenegro	Montenegrin	Montenegrins
Montserrat	Montserratian	Montserratians
Morocco	Moroccan	Moroccans
Mozambique	Mozambican	Mozambicans
Myanmar	Myanma or Burmese	Myanmars
Namibia	Namibian	Namibians
Nauru	Nauruan	Nauruans
Nepal	Nepali, Nepalese	Nepalis, Nepalese
Netherlands	Dutch	Dutch, Dutchmen, Dutchwomen, Netherlanders
New Caledonia	New Caledonian	New Caledonians
New Zealand	New Zealand	New Zealanders
Nicaragua	Nicaraguan	Nicaraguans
Niger	Nigerien	Nigeriens
Nigeria	Nigerian	Nigerians
Niue	Niuean	Niueans
Norfolk Island	Norfolk Island	Norfolk Islanders
North Macedonia	Macedonian	Macedonians
Northern Ireland	Northern Irish	Northern Irish, Northern Irishmen, Northern Irishwomen
Northern Mariana Islands	Northern Marianan	Northern Marianans
Norway	Norwegian	Norwegians
Oman	Omani	Omanis
Pakistan	Pakistani	Pakistanis
Palau	Palauan	Palauans
Palestine	Palestinian	Palestinians
Panama	Panamanian	Panamanians
Papua New Guinea	Papua New Guinean, Papuan	Papua New Guineans, Papuans
Paraguay	Paraguayan	Paraguayans
Peru	Peruvian	Peruvians
Philippines	Filipino, Philippine	Filipinos, Filipinas
Pitcairn Islands	Pitcairn Island	Pitcairn Islanders
Poland	Polish	Poles
Portugal	Portuguese	Portuguese
Puerto Rico	Puerto Rican	Puerto Ricans
Qatar	Qatari	Qataris
Quebec	Québécois	Québécois, Quebecers
Réunion	Réunionese, Réunionnais	Réunionese, Réunionnais, Réunionnaises
Romania	Romanian	Romanians
Russia	Russian	Russians
Rwanda	Rwandan	Rwandans, Banyarwanda
Saba	Saba, Saban	Saba Dutch
Saint Barthélemy	Barthélemois	Barthélemois, Barthélemoises
Saint Helena, Ascension and Tristan da Cunha	Saint Helenian	Saint Helenians
Saint Kitts and Nevis	Kittitian or Nevisian	Kittitians or Nevisians
Saint Lucia	Saint Lucian	Saint Lucians
Saint Martin	Saint-Martinoise	Saint-Martinois, Saint-Martinoises
Saint Pierre and Miquelon	Saint-Pierrais, Miquelonnais	Saint-Pierrais, Saint-Pierraises or Miquelonnais, Miquelonnaises
Saint Vincent and the Grenadines	Saint Vincentian, Vincentian	Saint Vincentians or Vincentians
Sahrawi Arab Democratic Republic	Sahrawi, Western Saharan, Sahrawian	Sahrawis, Western Saharans
Samoa	Samoan	Samoans
San Marino	Sammarinese	Sammarinese
São Tomé and Príncipe	São Toméan	São Toméans
Saudi Arabia	Saudi, Saudi Arabian	Saudis, Saudi Arabians
Scotland	Scottish	Scots, Scotsmen, Scotswomen
Senegal	Senegalese	Senegalese
Serbia	Serbian	Serbs, Serbians
Seychelles	Seychellois	Seychellois, Seychelloises
Sierra Leone	Sierra Leonean	Sierra Leoneans
Singapore	Singapore, Singaporean	Singaporeans
Sint Eustatius	Sint Eustatius, Statian	Statians
Sint Maarten	Sint Maarten	Sint Maartener
Slovakia	Slovak	Slovaks, Slovakians
Slovenia	Slovenian, Slovene	Slovenes, Slovenians
Solomon Islands	Solomon Island	Solomon Islanders
Somalia	Somali	Somalis
Somaliland	Somalilander	Somalilanders
South Africa	South African	South Africans
South Georgia and the South Sandwich Islands	South Georgia Island, South Sandwich Island	South Georgia Islanders or South Sandwich Islanders
South Ossetia	South Ossetian	South Ossetians
South Sudan	South Sudanese	South Sudanese
Spain	Spanish	Spaniards
Sri Lanka	Sri Lankan	Sri Lankans
Sudan	Sudanese	Sudanese
Suriname	Surinamese	Surinamers
Svalbard	Svalbard resident	Svalbard residents
Sweden	Swedish	Swedes
Switzerland	Swiss	Swiss
Syrian Arab Republic	Syrian	Syrians
Taiwan	Taiwanese, Formosan	Taiwanese, Formosan
Tajikistan	Tajikistani	Tajikistanis, Tajiks
Tanzania	Tanzanian	Tanzanians
Thailand	Thai	Thai
Timor-Leste	Timorese	Timorese
Togo	Togolese	Togolese
Tokelau	Tokelauan	Tokelauans
Tonga	Tongan	Tongans
Trinidad and Tobago	Trinidadian or Tobagonian	Trinidadians or Tobagonians
Tunisia	Tunisian	Tunisians
Turkey	Turkish	Turks
Turkmenistan	Turkmen	Turkmens
Turks and Caicos Islands	Turks and Caicos Island	Turks and Caicos Islanders
Tuvalu	Tuvaluan	Tuvaluans
Uganda	Ugandan	Ugandans
Ukraine	Ukrainian	Ukrainians
United Arab Emirates	Emirati, Emirian, Emiri	Emiratis, Emirians, Emiri
United Kingdom of Great Britain and Northern Ireland	British, United Kingdom, UK	Britons, British
United States of America	American, United States, U.S.	Americans
Uruguay	Uruguayan	Uruguayans, Orientals
Uzbekistan	Uzbekistani, Uzbek	Uzbekistanis, Uzbeks
Vanuatu	Ni-Vanuatu, Vanuatuan	Ni-Vanuatu
Vatican City State	Vatican	Vatican citizens
Venezuela, Bolivarian Republic of	Venezuelan	Venezuelans
Vietnam	Vietnamese	Vietnamese people
Virgin Islands, British	British Virgin Island	British Virgin Islanders
Virgin Islands, United States	U.S. Virgin Island	U.S. Virgin Islanders
Wales	Welsh	Welshmen, Welshwomen, Walian
Wallis and Futuna	Wallis and Futuna, Wallisian, Futunan	Wallis and Futuna Islanders, Wallisians or Futunans
Yemen	Yemeni	Yemenis
Zambia	Zambian	Zambians
Zanzibar	Zanzibari	Zanzibaris
Zimbabwe	Zimbabwean	Zimbabweans
